ISO_639	L1_st	L1_log10_scaled	All_Users_scaled	All_Users_log10_scaled
nhp	-0.09066007444069668	-0.19040980775247635	-0.08149128076961522	-0.20115527824531337
nhx	-0.0898455575019383	0.21569194003240635	-0.08097805749486825	0.20333482762623217
ita; ita; ita; ita; ita; ita; ita; ita; ita; ita; ita; ita; ita; ita; ita; ita	2.461037199947613	2.524637598601386	1.6055337585760843	2.5173786011517763
ito	-0.09093976639355619	-2.6116569929794835	-0.08166751334764576	-2.6127935822804855
itz	-0.09092294127093234	-1.0259791534850624	-0.08165691191737447	-1.033408611214035
ium; ium; ium; ium	-0.057602205148462586	1.2329956095179455	-0.06066167351776327	1.2166012595443942
ivv	-0.08950000486125292	0.2974041788575852	-0.08076032640861196	0.28472278597332495
ibd	-0.09093487106447981	-1.3900746830975137	-0.0816644288239238	-1.396059203395946
kbm	-0.09085341937060398	-0.5401695000440186	-0.0816131064964491	-0.5495269258343455
iwm	-0.09081639587338769	-0.4340102943831886	-0.08158977816577878	-0.4437890200725254
nca	-0.09065596071878376	-0.18606357768345877	-0.08148868873287407	-0.19682629648064917
jah	-0.0908369644829523	-0.48827759468432175	-0.08160273834948452	-0.4978409569674038
bxl	-0.09091923892121072	-0.9670198392422642	-0.08165457908430744	-0.9746832809482416
jaa	-0.09090772049985453	-0.834825863837056	-0.08164732138143223	-0.8430139261648745
jam; jam; jam	0.03218800304486665	1.6220231713094697	-0.004085287568762205	1.6040849394702372
jax	-0.049802588401564145	1.2955917637298573	-0.055747171856549815	1.278948996736946
djm	-0.08559196904397787	0.6881079355104227	-0.07829789150452293	0.6738760086692056
jsl	-0.08575651792049471	0.6788024091513895	-0.07840157297416879	0.6646074119131294
jqr	-0.0909093659886197	-0.850480187993097	-0.08164835819612869	-0.8586061250898067
jra; jra	-0.08012894634361863	0.8976842203523305	-0.0748556667122806	0.8826205760251999
ddj	-0.09093075734256689	-1.2107154007602903	-0.08166183678718265	-1.217411720351726
jav; jav	2.716078908360514	2.5530001281394323	1.6870216912368945	2.5313672520585477
jhi	-0.0908883860068638	-0.694546558056062	-0.08163513880874884	-0.7032913281794113
jeh; jeh	-0.08984144378002538	0.21680917872770217	-0.0809754654581271	0.20444763248513514
xuj	-0.086784948398725	0.612951098668332	-0.07904958215945537	0.5990174367545358
jee	-0.09086740602510791	-0.5927326529094026	-0.0815280876913395	-0.27061138381502187
juo	-0.0908575330925169	-0.554689926276937	-0.08161569853319024	-0.5639897267858064
jia	-0.0908781017020815	-0.640299086267308	-0.08162865871689598	-0.6492591411061361
jit	-0.07592472254861324	0.9954976103310423	-0.07220660516282905	0.9800457870319296
kaj	-0.06708022043583284	1.1333967744433173	-0.06663372616936443	1.1173976890998776
jun	-0.0896892360692473	0.2554501720342513	-0.08087956009870469	0.24293527642856158
ktz; ktz	-0.08906806406039622	0.37552247029004465	-0.08048816255079158	0.362531059747999
jbu	-0.09083943271610005	-0.4955079362378155	-0.0816042935715292	-0.5050426044274618
bex	-0.08353510808751731	0.7850034250859299	-0.07700187313394977	0.7703869620217957
kbd; kbd; kbd; kbd	-0.01500050101825149	1.478121696008495	-0.03381854102645182	1.460754546786491
ksp; ksp; lak	-0.08489263631878127	0.7247011972679188	-0.07785724525852805	0.7103240476230182
kab	0.1649336954529182	1.8398190242477548	0.0795571460312889	1.821016455017558
kac; kac	-0.052270821549316816	1.2771680759022213	-0.05730239390123762	1.2605984245451407
kcx	-0.09082338920063965	-0.45137404027814104	-0.08159418462823873	-0.4610838567820102
kej	-0.09085917858128206	-0.5607023453061875	-0.0816167353478867	-0.5699782851285146
zkd; zkn	-0.08933545598473608	0.32962443523682516	-0.0806566449389661	0.31681517411283805
kbr	-0.04198651676701402	1.3473871719040154	-0.04961182089025644	1.3419549066257068
cgc	-0.08970569095689898	0.25150647098967305	-0.08088992824566928	0.23900722622501464
gel	-0.08945886764212371	0.3057919602005079	-0.0807344060412005	0.2930772798456916
kki	-0.07707656468423116	0.971732539681572	-0.07293237545035001	0.9563750296528184
kzq	-0.0908575330925169	-0.554689926276937	-0.08161569853319024	-0.5639897267858064
kgp	-0.09017876897688491	0.10756996962999496	-0.0811880124709011	0.09564194648581882
kxa	-0.0908369644829523	-0.48827759468432175	-0.08160273834948452	-0.4978409569674038
tbd	-0.09091389108272392	-0.8983278466867433	-0.08165120943654394	-0.9062638971537441
mwp	-0.09090031580041127	-0.7730717108449392	-0.08164265571529816	-0.781504848654032
kck; kck	-0.07703542746510195	0.9726147745584345	-0.07290645508293855	0.9572537633216395
kqe	-0.0889281975153569	0.3969797457073309	-0.08040003330159261	0.38390318053446393
kal; kal	-0.08859498604041029	0.44261693209090885	-0.08019007832555976	0.42935925269535324
fla	-0.09093717474875106	-1.5751005752743172	-0.08166588036449883	-1.5803508079600732
xal; xal; xal	-0.07318909747652069	1.0453327748685208	-0.07048290072996673	1.0296831773899944
bco	-0.09081228215147477	-0.4242501634250071	-0.08158718612903763	-0.4340676228460199
kms	-0.09090031580041127	-0.7730717108449392	-0.08164265571529816	-0.781504848654032
kbq	-0.08764883000043842	0.5435470187146582	-0.0795939098750961	0.5298887915282918
kam	0.10075963361134876	1.7538409751193167	0.054673593316284075	1.7712992520620428
xbr	-0.08106687493976464	0.8706617684209418	-0.07544665108926196	0.8557053644993778
ktb	-0.06037485371777142	1.2071410136309753	-0.060353221145566856	1.2209245034288208
kdx	-0.09073412143512927	-0.2819491338825217	-0.08153793743095586	-0.29233132444486215
kgq	-0.09061070977774163	-0.14202556163848457	-0.08146017632872146	-0.15296304824405163
xla	-0.0908945565897332	-0.7325771207016911	-0.08163902686386056	-0.7411709639967717
